最后一轮准确率： 0.8503378660215233 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8735296571285559 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8474180362058897 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8758655209810629 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8072912321681822 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.0001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.846834070242763 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.0001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.7473095853841661 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.0001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.815216484524902 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'gated_cnn', 'max_length': 30, 'hidden_size': 128, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.0001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8553432885626094 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'bert', 'max_length': 30, 'hidden_size': 768, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8674397263702344 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'bert', 'max_length': 30, 'hidden_size': 768, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 64, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8563443730708268 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'bert', 'max_length': 30, 'hidden_size': 768, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'avg', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
最后一轮准确率： 0.8608492533578043 当前配置： {'model_path': 'output', 'train_data_path': '../data/train_meituan_comment.json', 'valid_data_path': '../data/valid_meituan_comment.json', 'vocab_path': 'chars.txt', 'model_type': 'bert', 'max_length': 30, 'hidden_size': 768, 'kernel_size': 3, 'num_layers': 2, 'epoch': 15, 'batch_size': 128, 'pooling_style': 'max', 'optimizer': 'adam', 'learning_rate': 0.001, 'pretrain_model_path': 'bert-base-chinese', 'seed': 987, 'class_num': 2, 'vocab_size': 4622}
