model_type,max_length,hidden_size,epoch,batch_size,pooling_style,learning_rate,acc
gated_cnn,30,128,15,64,avg,0.001, 0.8503378660215233 
gated_cnn,30,128,15,64,max,0.001, 0.8735296571285559 
gated_cnn,30,128,15,128,avg,0.001, 0.8474180362058897 
gated_cnn,30,128,15,128,max,0.001, 0.8758655209810629 
gated_cnn,30,128,15,64,avg,0.0001, 0.8072912321681822 
gated_cnn,30,128,15,64,max,0.0001, 0.846834070242763 
gated_cnn,30,128,15,128,avg,0.0001, 0.7473095853841661 
gated_cnn,30,128,15,128,max,0.0001, 0.815216484524902 
bert,30,768,15,64,avg,0.001, 0.8553432885626094 
bert,30,768,15,64,max,0.001, 0.8674397263702344 
bert,30,768,15,128,avg,0.001, 0.8563443730708268 
bert,30,768,15,128,max,0.001, 0.8608492533578043 
bert,30,768,15,64,avg,0.0001, 0.8495036289313422 
bert,30,768,15,64,max,0.0001, 0.878451655960624 
bert,30,768,15,128,avg,0.0001, 0.8580962709602069 
bert,30,768,15,128,max,0.0001, 0.8795361641778594 
lstm,30,128,15,64,avg,0.001, 0.8515892216567948 
lstm,30,128,15,64,max,0.001, 0.8446650538082923 
lstm,30,128,15,128,avg,0.001, 0.8375740385417536 
lstm,30,128,15,128,max,0.001, 0.8440810878451656 
lstm,30,128,15,64,avg,0.0001, 0.8173020772503545 
lstm,30,128,15,64,max,0.0001, 0.8183031617585718 
lstm,30,128,15,128,avg,0.0001, 0.71635938933845 
lstm,30,128,15,128,max,0.0001, 0.7678318178026196 
